% time	cellId	IMSI	RNTI	mcs	size	resPscch	rbLen	rbStart	iTrp	hopping	groupDstId	correct
1046	0	1	0	0	0	0	0	0	0	0	0	1
1046	0	2	0	0	0	0	0	0	0	0	0	1
1046	0	4	0	0	0	0	0	0	0	0	0	1
1046	0	5	0	0	0	0	0	0	0	0	0	1
1046	0	6	0	0	0	0	0	0	0	0	0	1
1046	0	7	0	0	0	0	0	0	0	0	0	1
1046	0	8	0	0	0	0	0	0	0	0	0	1
1046	0	9	0	0	0	0	0	0	0	0	0	1
1075	0	1	0	2	50816	0	0	0	1	0	0	1
1075	0	2	0	2	50816	0	0	0	1	0	0	1
1075	0	3	0	2	50816	0	0	0	1	0	0	1
1075	0	4	0	2	50816	0	0	0	1	0	0	1
1075	0	5	0	2	50816	0	0	0	1	0	0	1
1075	0	6	0	2	50816	0	0	0	1	0	0	1
1075	0	7	0	2	50816	0	0	0	1	0	0	1
1075	0	8	0	2	50816	0	0	0	1	0	0	1
