% time	cellId	IMSI	RNTI	scPrdStartFr	scPrdStartSf	schStartFr	schStartSf	currFr	currSf	mcs	TBS	psschRB	psschLen
1004	0	107	107	101	9	105	9	101	9	32	32647	2	8
1004	0	136	136	101	9	105	9	101	9	32	32647	2	8
1005	0	20	20	101	9	105	9	101	10	32	32647	17	8
1005	0	55	55	101	9	105	9	101	10	32	32647	2	8
1005	0	74	74	101	9	105	9	101	10	32	32647	17	8
1005	0	97	97	101	9	105	9	101	10	32	32647	32	8
1005	0	123	123	101	9	105	9	101	10	32	32647	2	8
1005	0	185	185	101	9	105	9	101	10	32	32647	17	8
1006	0	45	45	101	9	105	9	102	1	32	32647	2	8
1006	0	88	88	101	9	105	9	102	1	32	32647	17	8
1006	0	117	117	101	9	105	9	102	1	32	32647	17	8
1006	0	160	160	101	9	105	9	102	1	32	32647	2	8
1007	0	17	17	101	9	105	9	102	2	32	32647	17	8
1007	0	111	111	101	9	105	9	102	2	32	32647	17	8
1007	0	145	145	101	9	105	9	102	2	32	32647	17	8
1007	0	149	149	101	9	105	9	102	2	32	32647	17	8
1007	0	154	154	101	9	105	9	102	2	32	32647	17	8
1007	0	189	189	101	9	105	9	102	2	32	32647	32	8
1008	0	67	67	101	9	105	9	102	3	32	32647	2	8
1008	0	119	119	101	9	105	9	102	3	32	32647	17	8
1009	0	11	11	101	9	105	9	102	4	32	32647	17	8
1009	0	15	15	101	9	105	9	102	4	32	32647	2	8
1009	0	60	60	101	9	105	9	102	4	32	32647	2	8
1009	0	75	75	101	9	105	9	102	4	32	32647	32	8
1009	0	114	114	101	9	105	9	102	4	32	32647	32	8
1009	0	194	194	101	9	105	9	102	4	32	32647	17	8
1010	0	52	52	101	9	105	9	102	5	32	32647	17	8
1010	0	113	113	101	9	105	9	102	5	32	32647	2	8
1010	0	132	132	101	9	105	9	102	5	32	32647	32	8
1010	0	137	137	101	9	105	9	102	5	32	32647	32	8
1010	0	150	150	101	9	105	9	102	5	32	32647	17	8
1010	0	153	153	101	9	105	9	102	5	32	32647	32	8
1010	0	200	200	101	9	105	9	102	5	32	32647	2	8
1011	0	16	16	101	9	105	9	102	6	32	32647	2	8
1011	0	79	79	101	9	105	9	102	6	32	32647	17	8
1011	0	84	84	101	9	105	9	102	6	32	32647	32	8
1011	0	99	99	101	9	105	9	102	6	32	32647	17	8
1011	0	105	105	101	9	105	9	102	6	32	32647	2	8
1011	0	142	142	101	9	105	9	102	6	32	32647	32	8
1011	0	165	165	101	9	105	9	102	6	32	32647	2	8
1011	0	207	207	101	9	105	9	102	6	32	32647	17	8
1011	0	208	208	101	9	105	9	102	6	32	32647	32	8
1012	0	5	5	101	9	105	9	102	7	32	32647	2	8
1012	0	36	36	101	9	105	9	102	7	32	32647	17	8
1012	0	85	85	101	9	105	9	102	7	32	32647	32	8
1012	0	129	129	101	9	105	9	102	7	32	32647	17	8
1012	0	143	143	101	9	105	9	102	7	32	32647	2	8
1012	0	181	181	101	9	105	9	102	7	32	32647	32	8
1012	0	182	182	101	9	105	9	102	7	32	32647	2	8
1013	0	53	53	101	9	105	9	102	8	32	32647	32	8
1013	0	80	80	101	9	105	9	102	8	32	32647	17	8
1014	0	96	96	101	9	105	9	102	9	32	32647	17	8
1014	0	140	140	101	9	105	9	102	9	32	32647	2	8
1014	0	164	164	101	9	105	9	102	9	32	32647	2	8
1014	0	196	196	101	9	105	9	102	9	32	32647	17	8
1015	0	50	50	101	9	105	9	102	10	32	32647	32	8
1015	0	70	70	101	9	105	9	102	10	32	32647	32	8
1015	0	78	78	101	9	105	9	102	10	32	32647	2	8
1015	0	177	177	101	9	105	9	102	10	32	32647	17	8
1016	0	12	12	101	9	105	9	103	1	32	32647	2	8
1016	0	22	22	101	9	105	9	103	1	32	32647	2	8
1016	0	66	66	101	9	105	9	103	1	32	32647	17	8
1016	0	134	134	101	9	105	9	103	1	32	32647	32	8
1016	0	159	159	101	9	105	9	103	1	32	32647	2	8
1016	0	161	161	101	9	105	9	103	1	32	32647	17	8
1017	0	19	19	101	9	105	9	103	2	32	32647	2	8
1017	0	26	26	101	9	105	9	103	2	32	32647	17	8
1017	0	27	27	101	9	105	9	103	2	32	32647	17	8
1017	0	65	65	101	9	105	9	103	2	32	32647	2	8
1017	0	93	93	101	9	105	9	103	2	32	32647	2	8
1017	0	94	94	101	9	105	9	103	2	32	32647	32	8
1017	0	103	103	101	9	105	9	103	2	32	32647	2	8
1018	0	14	14	101	9	105	9	103	3	32	32647	32	8
1018	0	49	49	101	9	105	9	103	3	32	32647	17	8
1018	0	73	73	101	9	105	9	103	3	32	32647	2	8
1018	0	156	156	101	9	105	9	103	3	32	32647	17	8
1018	0	210	210	101	9	105	9	103	3	32	32647	2	8
1019	0	158	158	101	9	105	9	103	4	32	32647	32	8
1020	0	76	76	101	9	105	9	103	5	32	32647	32	8
1020	0	214	214	101	9	105	9	103	5	32	32647	32	8
1020	0	215	215	101	9	105	9	103	5	32	32647	32	8
1021	0	39	39	101	9	105	9	103	6	32	32647	32	8
1021	0	95	95	101	9	105	9	103	6	32	32647	32	8
1021	0	108	108	101	9	105	9	103	6	32	32647	2	8
1021	0	112	112	101	9	105	9	103	6	32	32647	2	8
1021	0	124	124	101	9	105	9	103	6	32	32647	32	8
1021	0	147	147	101	9	105	9	103	6	32	32647	2	8
1022	0	9	9	101	9	105	9	103	7	32	32647	32	8
1022	0	28	28	101	9	105	9	103	7	32	32647	17	8
1022	0	90	90	101	9	105	9	103	7	32	32647	32	8
1022	0	167	167	101	9	105	9	103	7	32	32647	17	8
1023	0	29	29	101	9	105	9	103	8	32	32647	2	8
1023	0	40	40	101	9	105	9	103	8	32	32647	2	8
1023	0	56	56	101	9	105	9	103	8	32	32647	32	8
1023	0	141	141	101	9	105	9	103	8	32	32647	17	8
1023	0	179	179	101	9	105	9	103	8	32	32647	17	8
1023	0	184	184	101	9	105	9	103	8	32	32647	2	8
1023	0	190	190	101	9	105	9	103	8	32	32647	2	8
1023	0	193	193	101	9	105	9	103	8	32	32647	32	8
1024	0	1	1	101	9	105	9	103	9	32	32647	32	8
1024	0	201	201	101	9	105	9	103	9	32	32647	2	8
1025	0	18	18	101	9	105	9	103	10	32	32647	17	8
1025	0	34	34	101	9	105	9	103	10	32	32647	2	8
1025	0	86	86	101	9	105	9	103	10	32	32647	2	8
1025	0	104	104	101	9	105	9	103	10	32	32647	17	8
1025	0	163	163	101	9	105	9	103	10	32	32647	17	8
1025	0	180	180	101	9	105	9	103	10	32	32647	17	8
1026	0	33	33	101	9	105	9	104	1	32	32647	17	8
1026	0	204	204	101	9	105	9	104	1	32	32647	17	8
1026	0	211	211	101	9	105	9	104	1	32	32647	32	8
1026	0	213	213	101	9	105	9	104	1	32	32647	32	8
1027	0	24	24	101	9	105	9	104	2	32	32647	17	8
1027	0	51	51	101	9	105	9	104	2	32	32647	17	8
1027	0	188	188	101	9	105	9	104	2	32	32647	32	8
1028	0	21	21	101	9	105	9	104	3	32	32647	2	8
1028	0	32	32	101	9	105	9	104	3	32	32647	17	8
1028	0	82	82	101	9	105	9	104	3	32	32647	17	8
1028	0	128	128	101	9	105	9	104	3	32	32647	17	8
1028	0	139	139	101	9	105	9	104	3	32	32647	2	8
1028	0	187	187	101	9	105	9	104	3	32	32647	17	8
1029	0	81	81	101	9	105	9	104	4	32	32647	17	8
1029	0	172	172	101	9	105	9	104	4	32	32647	32	8
1029	0	176	176	101	9	105	9	104	4	32	32647	32	8
1029	0	197	197	101	9	105	9	104	4	32	32647	17	8
1030	0	23	23	101	9	105	9	104	5	32	32647	2	8
1030	0	87	87	101	9	105	9	104	5	32	32647	32	8
1030	0	122	122	101	9	105	9	104	5	32	32647	32	8
1030	0	127	127	101	9	105	9	104	5	32	32647	2	8
1030	0	174	174	101	9	105	9	104	5	32	32647	17	8
1031	0	57	57	101	9	105	9	104	6	32	32647	2	8
1031	0	126	126	101	9	105	9	104	6	32	32647	2	8
1031	0	170	170	101	9	105	9	104	6	32	32647	32	8
1031	0	186	186	101	9	105	9	104	6	32	32647	17	8
1031	0	203	203	101	9	105	9	104	6	32	32647	2	8
1031	0	212	212	101	9	105	9	104	6	32	32647	17	8
1032	0	8	8	101	9	105	9	104	7	32	32647	32	8
1032	0	41	41	101	9	105	9	104	7	32	32647	17	8
1032	0	62	62	101	9	105	9	104	7	32	32647	2	8
1032	0	173	173	101	9	105	9	104	7	32	32647	17	8
1032	0	209	209	101	9	105	9	104	7	32	32647	32	8
1033	0	61	61	101	9	105	9	104	8	32	32647	17	8
1033	0	68	68	101	9	105	9	104	8	32	32647	32	8
1033	0	100	100	101	9	105	9	104	8	32	32647	32	8
1033	0	109	109	101	9	105	9	104	8	32	32647	2	8
1033	0	144	144	101	9	105	9	104	8	32	32647	17	8
1034	0	64	64	101	9	105	9	104	9	32	32647	32	8
